character,frequency,onyomi,kunyomi,jlpt,meaning
慰,1158,イ,なぐさ.める なぐさ.む,1,consolation; amusement; seduce; cheer; make sport of; comfort; console
易,571,エキ イ,やさ.しい やす.い,2,easy; ready to; simple; fortune-telling; divination
椅,2245,イ,,,chair
為,831,イ,ため な.る な.す す.る たり つく.る なり,1,do; change; make; benefit; welfare; be of use; reach to; try; practice; cost; serve as; good; advantage; as a result of
畏,2389,イ,おそ.れる かしこま.る かしこ かしこ.し,,fear; majestic; graciously; be apprehensive
異,631,イ,こと こと.なる け,2,uncommon; different; queerness; strangeness; wonderful; curious; unusual
移,448,イ,うつ.る うつ.す,2,"shift; move; change; drift; catch (cold, fire); pass into"
維,643,イ,,1,fiber; tie; rope
緯,1430,イ,よこいと ぬき,1,horizontal; woof; left & right; (parallels of) latitude; prediction
胃,1647,イ,,2,stomach; paunch; crop; craw
萎,,イ,な しお.れる しな.びる しぼ.む な.える,,wither; droop; lame
衣,1214,イ エ,ころも きぬ -ぎ,2,garment; clothes; dressing
謂,,イ,い.う いい おも.う いわゆる,,reason; origin; history; oral tradition
違,344,イ,ちが.う ちが.い ちが.える -ちが.える たが.う たが.える,2,difference; differ
遺,647,イ ユイ,のこ.す,1,bequeath; leave behind; reserve
医,437,イ,い.やす い.する くすし,3,doctor; medicine
井,339,セイ ショウ,い,1,well; well crib; town; community
亥,,ガイ カイ,い,1,sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac
域,396,イキ,,2,range; region; limits; stage; level
育,369,イク,そだ.つ そだ.ち そだ.てる はぐく.む,2,bring up; grow up; raise; rear
郁,1920,イク,,1,cultural progress; perfume
磯,1444,キ,いそ,1,seashore; beach
一,2,イチ イツ,ひと- ひと.つ,4,one; one radical (no.1)
壱,2351,イチ イツ,ひとつ,1,one (in documents)
溢,2405,イツ,こぼ.れる あふ.れる み.ちる,,overflow; inundate; spill
逸,1524,イツ,そ.れる そ.らす はぐ.れる,1,deviate; idleness; leisure; miss the mark; evade; elude; parry; diverge
稲,1038,トウ テ,いね いな-,1,rice plant
茨,1203,シ ジ,いばら かや くさぶき,,briar; thorn
芋,2418,ウ,いも,1,potato
鰯,,,いわし,,sardine; (kokuji)
允,2358,イン,じょう まこと.に ゆるす,1,license; sincerity; permit
印,682,イン,しるし -じるし しる.す,2,stamp; seal; mark; imprint; symbol; emblem; trademark; evidence; souvenir; India
咽,,イン エン エツ,むせ.ぶ むせ.る のど の.む,,throat; choked; smothered; stuffy
員,54,イン,,3,employee; member; number; the one in charge
因,636,イン,よ.る ちな.む,2,cause; factor; be associated with; depend on; be limited to
姻,1985,イン,,1,matrimony; marry
引,218,イン,ひ.く ひ.ける,3,pull; tug; jerk; admit; install; quote; refer to
